age,sex,raceEthnicity,2017-2019_F_Total,2020_F_Total,2017-2019_N_Total,2020_N_Total,2017-2019_T_Total,2020_T_Total,2017-2019_D_Total,2020_D_Total,2020_F_Non-COVID,2020_F_COVID-19,2020_N_Non-COVID,2020_N_COVID-19,2020_T_Non-COVID,2020_T_COVID-19,2020_D_Non-COVID,2020_D_COVID-19
25+,Male,White,1378.327917203592,1646.0675566154364,1518.2257142863002,1697.5722017901385,1509.6935840710973,1694.0906613551433,-139.89779708270817,-51.50464517470209,1443.7684807061362,202.29907590930048,1553.9577059473377,143.61449584280086,1547.0952279669302,146.99543338821283,-110.18922524120148,58.68458006649962
25+,Male,Hispanic,961.8020165466562,1554.9468012519396,1241.7360347978527,1567.6686697536466,1083.6342988214642,1559.9299678177222,-279.93401825119645,-12.721868501706922,1076.6013198185028,478.34548143343653,1299.865309604285,267.80336014936137,1174.4035848919168,385.5263829258053,-223.2639897857821,210.54212128407517
25+,Male,Black,1189.1086218047506,1835.5002947730068,1927.351591796084,2418.179588661628,1835.2834664017741,2338.1309705606645,-738.2429699913334,-582.679293888621,1397.8809118815252,437.6193828914814,2103.8836290809404,314.2959595806872,2010.27030953074,327.86066102992453,-706.0027171994152,123.32342331079417
25+,Male,Asian,768.653021324302,978.9725135217586,972.362632226417,1099.1888563963985,802.2295312881747,999.3913362980408,-203.70961090211495,-120.21634287463985,810.6500112726088,168.32250224914992,1009.052645718812,90.13621067758652,842.140802709014,157.25053358902673,-198.40263444620314,78.1862915715634
25+,Male,Total,1055.9418961192312,1445.4832727583473,1546.0632308738,1768.609158035385,1467.9404209319105,1713.2136304712635,-490.1213347545688,-323.1258852770377,1134.3414439305827,311.1418288277642,1599.523150324577,169.08600771080782,1521.543903438412,191.66972703285185,-465.1817063939943,142.05582111695637
25-64,Male,White,414.7311558813509,502.31399595735036,517.115281626227,586.0226152632507,510.8596422395192,580.8166216149791,-102.38412574487609,-83.70861930590036,460.5612903979643,41.752705559386094,561.5297045004254,24.49291076282524,555.3159055670902,25.50071604788881,-100.96841410246111,17.259794796560854
25-64,Male,Hispanic,279.95642065267504,504.0580983726518,467.68511956801586,604.2588177975512,359.2197417206153,548.5749064389257,-187.72869891534083,-100.20071942489938,335.41600336813866,168.64209500451312,515.765674960843,88.49314283670816,413.50544295984844,135.0694634790774,-180.34967159270428,80.14895216780496
25-64,Male,Black,365.26412352279675,529.4008360851152,821.4573802129997,1055.4096975750908,757.5134249018929,978.9875606190769,-456.193256690203,-526.0088614899756,428.21440881702165,101.1864272680935,959.5203970016019,95.88930057348905,882.5205903611765,96.46697025790043,-531.3059881845802,5.297126694604444
25-64,Male,Asian,204.1730478615914,267.9327800671988,315.0212378540612,400.2102884157208,222.5934543499002,290.59506928486024,-110.8481899924698,-132.27750834852202,223.12909694955667,44.803683117642116,360.7494188109315,39.46086960478933,245.99342905579556,44.60164022906465,-137.62032186137483,5.342813512852786
25-64,Male,Total,298.5123376351954,446.720309467845,550.193788991145,649.4295931333997,501.7584779848618,608.7282508953514,-251.68145135594955,-202.70928366555472,342.14122575731403,104.5790837105309,609.2792698782913,40.15032325510843,556.2126418518554,52.51560904349597,-267.13804412097727,64.42876045542246
65+,Male,White,4466.399862990649,5311.494242686604,4726.519023087149,5259.7936955556115,4710.691343795308,5261.838570114408,-260.1191600965003,51.70054713099216,4594.686648094441,716.8075945921623,4734.426126447611,525.3675691080007,4725.484804237451,536.3537658769578,-139.73947835316994,191.44002548416165
65+,Male,Hispanic,3146.9362350857346,4922.766258275652,3722.363836672224,4655.141620615474,3405.190743068153,4801.054593421549,-575.4276015864893,267.62463766017845,3451.9035979404734,1470.862660335179,3812.6965909399814,842.4450296754919,3612.8802382148942,1188.174355206654,-360.792992999508,628.4176306596871
65+,Male,Black,3829.3116454684364,6021.202508266576,5471.449109425625,6785.495501443415,5289.25048119182,6693.824973498882,-1642.1374639571882,-764.2929931768394,4505.4047694482915,1515.7977388182844,5771.264150291128,1014.2313511522877,5624.408929982306,1069.4160435165759,-1265.8593808428368,501.5663876659967
65+,Male,Asian,2577.6615609720216,3257.6661967673845,3078.9673866678686,3339.2297045263454,2659.8093611570357,3270.895304865265,-501.30582569584703,-81.5635077589609,2693.4986528502313,564.1675439171524,3086.692471562878,252.5372329634671,2752.634957553416,518.2603473118487,-393.1938187126466,311.63031095368535
65+,Male,Total,3483.3026598217484,4646.253565091374,4737.560554842089,5355.282708006162,4564.297187891859,5252.796215327778,-1254.2578950203406,-709.0291429147874,3673.1329461253004,973.120618966074,4772.992042537744,582.2906654684174,4615.174462352025,637.6217529757533,-1099.8590964124437,390.82995349765656
